year,month,lat,lng,weight
0,6,-7,51,0.00067
0,6,-7,52,0.00046
0,6,-7,53,0.00066
0,6,-7,55,0.00038
0,6,-7,56,0.00028
0,6,-7,57,0.00428
0,6,-7,58,0.00785
0,6,-7,59,0.00046
0,6,-7,60,0.00063
0,6,-7,62,0.00193
0,6,-7,63,0.00427
0,6,-7,64,0.00121
0,6,-7,84,0.00029
0,6,-7,85,0.00204
0,6,-7,86,0.00997
0,6,-7,88,0.00029
0,6,-7,89,0.00026
0,6,-7,96,0.00595
0,6,-7,97,0.00179
0,6,-7,98,0.00470
0,6,-6,38,0.00049
0,6,-6,39,0.00163
0,6,-6,40,0.00047
0,6,-6,43,0.00033
0,6,-6,46,0.00032
0,6,-6,47,0.00047
0,6,-6,48,0.00109
0,6,-6,50,0.00248
0,6,-6,51,0.01273
0,6,-6,53,0.00057
0,6,-6,54,0.00061
0,6,-6,55,0.00043
0,6,-6,56,0.00076
0,6,-6,61,0.00827
0,6,-6,66,0.00036
0,6,-6,75,0.00027
0,6,-6,78,0.00112
0,6,-6,79,0.00145
0,6,-6,80,0.00747
0,6,-6,81,0.00031
0,6,-6,85,0.00057
0,6,-6,86,0.00058
0,6,-6,96,0.00068
0,6,-5,40,0.00062
0,6,-5,42,0.00039
0,6,-5,47,0.00038
0,6,-5,48,0.00049
0,6,-5,49,0.00468
0,6,-5,50,0.00376
0,6,-5,52,0.00190
0,6,-5,53,0.00755
0,6,-5,54,0.00086
0,6,-5,55,0.00077
0,6,-5,60,0.00694
0,6,-5,61,0.02481
0,6,-5,65,0.00083
0,6,-5,66,0.00325
0,6,-5,67,0.00034
0,6,-5,72,0.00028
0,6,-5,73,0.00048
0,6,-5,75,0.00045
0,6,-5,80,0.00267
0,6,-5,81,0.00740
0,6,-5,82,0.00128
0,6,-5,96,0.00120
0,6,-5,97,0.00209
0,6,-5,98,0.00054
0,6,-5,100,0.00218
0,6,-5,101,0.00066
0,6,-4,40,0.00053
0,6,-4,41,0.00035
0,6,-4,42,0.00093
0,6,-4,46,0.00026
0,6,-4,51,0.00086
0,6,-4,52,0.00765
0,6,-4,53,0.01814
0,6,-4,54,0.00077
0,6,-4,55,0.00042
0,6,-4,62,0.00053
0,6,-4,63,0.00093
0,6,-4,64,0.00093
0,6,-4,65,0.00099
0,6,-4,71,0.00048
0,6,-4,72,0.00140
0,6,-4,73,0.00079
0,6,-4,79,0.00027
0,6,-3,41,0.00061
0,6,-3,51,0.00033
0,6,-3,52,0.00516
0,6,-3,53,0.00213
0,6,-3,68,0.00467
0,6,-3,72,0.00116
0,6,-3,80,0.00084
0,6,-2,51,0.01626
0,6,-2,53,0.00054
0,6,-2,54,0.00103
0,6,-2,69,0.00052
0,6,-2,79,0.00960
0,6,-2,80,0.00326
0,6,-1,83,0.00028
0,6,1,44,0.00037
0,6,2,50,0.00029
0,6,2,51,0.00027
0,6,2,52,0.00035
0,6,3,49,0.00048
0,6,3,50,0.00063
0,6,3,56,0.00029
0,6,4,51,0.00027
0,6,6,50,0.00025
0,6,6,63,0.00027
0,6,7,52,0.00069
0,6,8,51,0.00025
0,8,-30,102,0.00112
0,8,-30,103,0.00084
0,8,-29,102,0.00084
0,8,-29,103,0.00056
0,8,-26,77,0.00040
0,8,-23,63,0.00063
0,8,-23,97,0.00033
0,8,-23,103,0.00125
0,8,-22,60,0.00039
0,8,-22,63,0.00055
0,8,-22,64,0.00047
0,8,-22,72,0.00036
0,8,-22,103,0.00279
0,8,-21,55,0.00040
0,8,-21,60,0.00034
0,8,-21,64,0.00029
0,8,-21,72,0.00035
0,8,-21,76,0.00058
0,8,-21,77,0.00065
0,8,-21,99,0.00026
0,8,-21,101,0.00026
0,8,-21,103,0.00323
0,8,-20,56,0.00027
0,8,-20,58,0.00026
0,8,-20,74,0.00033
0,8,-20,88,0.00069
0,8,-20,98,0.00504
0,8,-20,101,0.00103
0,8,-19,60,0.00030
0,8,-19,63,0.00039
0,8,-19,65,0.00029
0,8,-19,75,0.00050
0,8,-19,95,0.00103
0,8,-19,99,0.00028
0,8,-19,100,0.00180
0,8,-19,101,0.00340
0,8,-18,53,0.00035
0,8,-18,54,0.00070
0,8,-18,56,0.00028
0,8,-18,57,0.00031
0,8,-18,59,0.00091
0,8,-18,60,0.00181
0,8,-18,61,0.00120
0,8,-18,62,0.00058
0,8,-18,64,0.00046
0,8,-18,66,0.00157
0,8,-18,95,0.00093
0,8,-18,96,0.00061
0,8,-18,101,0.00561
0,8,-18,102,0.00296
0,8,-17,52,0.00047
0,8,-17,55,0.00035
0,8,-17,56,0.00048
0,8,-17,57,0.00036
0,8,-17,60,0.00075
0,8,-17,61,0.00063
0,8,-17,62,0.00032
0,8,-17,71,0.00027
0,8,-17,79,0.00049
0,8,-17,82,0.00038
0,8,-17,83,0.00237
0,8,-17,97,0.00163
0,8,-17,98,0.00026
0,8,-17,99,0.00053
0,8,-17,102,0.00094
0,8,-17,103,0.00263
0,8,-17,104,0.00319
0,8,-17,105,0.00115
0,8,-16,56,0.00036
0,8,-16,58,0.00050
0,8,-16,59,0.00100
0,8,-16,60,0.00139
0,8,-16,61,0.00181
0,8,-16,62,0.00082
0,8,-16,65,0.00040
0,8,-16,66,0.00039
0,8,-16,76,0.00070
0,8,-16,80,0.00080
0,8,-16,83,0.00188
0,8,-16,84,0.00031
0,8,-16,89,0.00039
0,8,-16,90,0.00097
0,8,-16,91,0.00037
0,8,-16,94,0.00073
0,8,-16,96,0.00028
0,8,-16,97,0.00098
0,8,-16,98,0.00025
0,8,-16,100,0.00076
0,8,-16,101,0.00149
0,8,-16,105,0.00082
0,8,-16,106,0.00073
0,8,-15,44,0.00026
0,8,-15,54,0.00043
0,8,-15,57,0.00059
0,8,-15,58,0.00033
0,8,-15,59,0.00070
0,8,-15,60,0.00111
0,8,-15,61,0.00063
0,8,-15,63,0.00045
0,8,-15,65,0.00071
0,8,-15,68,0.00026
0,8,-15,76,0.00034
0,8,-15,77,0.00029
0,8,-15,78,0.00046
0,8,-15,79,0.00297
0,8,-15,80,0.00054
0,8,-15,82,0.00025
0,8,-15,83,0.00035
0,8,-15,87,0.00041
0,8,-15,88,0.00049
0,8,-15,91,0.00034
0,8,-15,98,0.00045
0,8,-15,99,0.00044
0,8,-15,100,0.00042
0,8,-15,101,0.00371
0,8,-15,102,0.00341
0,8,-15,103,0.00233
0,8,-15,106,0.00130
0,8,-15,107,0.00225
0,8,-15,112,0.00043
0,8,-14,45,0.00045
0,8,-14,57,0.00040
0,8,-14,58,0.00057
0,8,-14,59,0.00059
0,8,-14,60,0.00027
0,8,-14,63,0.00038
0,8,-14,64,0.00027
0,8,-14,65,0.00032
0,8,-14,71,0.00032
0,8,-14,72,0.00041
0,8,-14,73,0.00091
0,8,-14,76,0.00247
0,8,-14,77,0.00060
0,8,-14,78,0.00025
0,8,-14,81,0.00033
0,8,-14,82,0.00161
0,8,-14,83,0.00070
0,8,-14,84,0.00035
0,8,-14,87,0.00162
0,8,-14,88,0.00076
0,8,-14,89,0.00099
0,8,-14,90,0.00061
0,8,-14,91,0.00032
0,8,-14,97,0.00344
0,8,-14,98,0.00087
0,8,-14,99,0.00043
0,8,-14,100,0.00060
0,8,-14,101,0.00030
0,8,-14,102,0.00067
0,8,-14,103,0.00042
0,8,-14,104,0.00197
0,8,-13,44,0.00025
0,8,-13,46,0.00057
0,8,-13,47,0.00029
0,8,-13,56,0.00126
0,8,-13,61,0.00030
0,8,-13,69,0.00028
0,8,-13,70,0.00149
0,8,-13,71,0.00269
0,8,-13,72,0.00026
0,8,-13,73,0.00026
0,8,-13,74,0.00257
0,8,-13,75,0.00303
0,8,-13,77,0.00041
0,8,-13,78,0.00036
0,8,-13,79,0.00335
0,8,-13,80,0.00302
0,8,-13,81,0.00187
0,8,-13,82,0.00045
0,8,-13,84,0.00052
0,8,-13,85,0.00091
0,8,-13,87,0.00039
0,8,-13,89,0.00044
0,8,-13,91,0.00026
0,8,-13,92,0.00085
0,8,-13,93,0.00029
0,8,-13,97,0.00107
0,8,-13,98,0.00058
0,8,-13,99,0.00095
0,8,-13,100,0.00077
0,8,-13,101,0.00180
0,8,-13,102,0.00043
0,8,-13,104,0.00342
0,8,-12,46,0.00026
0,8,-12,55,0.00043
0,8,-12,59,0.00030
0,8,-12,61,0.00047
